Отметка времени,Вопрос без заголовка,Введите дату,Выберите магазин,Введите позицию [Описание],Введите позицию,Введите сумму,Введите количество,Хотите добавить еще товары?,Выберите категорию,Введите позицию [Ряд 2],Введите позицию [Ряд 3],Price per unit,
08.01.2024 10:41:30,,03.12.2023,Заправка,,аи 95,900,20,Нет,Бензин,,,45,#DIV/0!
08.01.2024 10:42:07,,17.12.2023,Заправка,,аи 95,1410,30,Нет,Бензин,,,47,
08.01.2024 10:42:59,,31.12.2023,Заправка,,аи 95,735,15,Нет,Бензин,,,49,
07.01.2024 13:56:33,,01.01.2024,Аптека,,Солпадеин,500,2,Нет,Лекарство,,,250,
08.01.2024 10:22:56,,01.01.2024,Лента,,Икра красная,450,1,Нет,Еда,,,450,
07.01.2024 16:59:17,,02.01.2024,Вкусвилл,,Молоко,400,4,Нет,Еда,,,100,
08.01.2024 10:19:53,,02.01.2024,Глобус,,Пицца по-немецки,300,2,Нет,Еда,,,150,
08.01.2024 10:24:18,,02.01.2024,Заправка,,аи 95,1000,20,Нет,Бензин,,,50,
08.01.2024 10:20:31,,03.01.2024,Заправка,,аи 95,2550,50,Нет,Бензин,,,51,
08.01.2024 10:25:26,,03.01.2024,Глобус,,Хлеб,25,1,Нет,Еда,,,25,
08.01.2024 10:27:20,,04.01.2024,Аптека,,Солпадеин,260,1,Нет,Лекарство,,,260,
08.01.2024 10:21:11,,05.01.2024,Вкусвилл,,Копченая семга,498,1,Нет,Еда,,,498,
08.01.2024 10:25:54,,05.01.2024,Глобус,,Хлеб,28,1,Нет,Еда,,,28,
08.01.2024 10:21:45,,06.01.2024,Лента,,Доктрин 3 кг,2700,1,Нет,Зоотовары,,,2700,
08.01.2024 10:26:28,,07.01.2024,Глобус,,Молоко,225,2,Нет,Еда,,,"112,5",
08.01.2024 10:22:29,,08.01.2024,Яндекс маркет,,Капсулы для стирки,500,2,Нет,Бытовая химия,,,250,
08.01.2024 10:27:49,,08.01.2024,Аптека,,Солпадеин,255,1,Нет,Лекарство,,,255,
